n,asset,isin,role,category,note,tickers_tried,yahoo_ticker,status,source,latest_date,latest_close,all_time_high_date,all_time_high,drawdown_from_high_pct,all_time_close_high_date,all_time_close_high,drawdown_from_close_high_pct,week_52_high_date,week_52_high,drawdown_from_52w_high_pct,rows_used,error,generated_at_utc
38,MSCI Emerging Markets,da verificare,leader,Emergenti,Proxy comune emerging markets,EEM,EEM,ok,yfinance.download,2026-06-18,70.790001,2026-06-18,70.919998,-0.1833,2026-06-02,70.800003,-0.0141,2026-06-18,70.919998,-0.1833,5833,,2026-06-20T09:23:35+00:00
39,Emerging Markets ex China,da verificare,leader,Emergenti,EM senza Cina,EMXC,EMXC,ok,yfinance.download,2026-06-18,105.75,2026-06-18,106.089996,-0.3205,2026-06-18,105.75,0.0,2026-06-18,106.089996,-0.3205,2237,,2026-06-20T09:23:35+00:00
40,MSCI India,da verificare,leader,Emergenti paese,India,INDA,INDA,ok,yfinance.download,2026-06-18,49.580002,2024-09-26,59.490002,-16.6583,2024-09-26,59.200001,-16.25,2025-06-27,56.009998,-11.4801,3614,,2026-06-20T09:23:35+00:00
41,MSCI China,da verificare,leader,Emergenti paese,Cina,MCHI,MCHI,ok,yfinance.download,2026-06-18,52.77,2021-02-17,97.550003,-45.9047,2021-02-17,97.190002,-45.7043,2025-10-02,67.370003,-21.6714,3827,,2026-06-20T09:23:35+00:00
42,MSCI Taiwan,da verificare,leader,Asia tech,Semiconduttori Asia,EWT,EWT,ok,yfinance.download,2026-06-18,109.989998,2026-06-18,110.230003,-0.2177,2026-06-18,109.989998,0.0,2026-06-18,110.230003,-0.2177,6535,,2026-06-20T09:23:36+00:00
43,MSCI Korea,da verificare,leader,Asia tech,Corea,EWY,EWY,ok,yfinance.download,2026-06-18,219.199997,2026-06-18,220.889999,-0.7651,2026-06-18,219.199997,0.0,2026-06-18,220.889999,-0.7651,6564,,2026-06-20T09:23:36+00:00
44,MSCI Brazil / Brasile equity,da verificare,leader,Emergenti commodity,Brasile equity proxy,EWZ,EWZ,ok,yfinance.download,2026-06-18,33.73,2008-05-29,102.209999,-66.9993,2008-05-20,100.470001,-66.4278,2026-04-14,42.02,-19.7287,6521,,2026-06-20T09:23:36+00:00
45,World Health Care,da verificare,leader,Settore difensivo,Healthcare globale,IXJ,IXJ,ok,yfinance.download,2026-06-18,92.970001,2026-02-27,101.779999,-8.6559,2026-02-27,101.709999,-8.5931,2026-02-27,101.779999,-8.6559,6180,,2026-06-20T09:23:36+00:00
46,World Energy / Oil & Gas,da verificare,leader,Settore ciclico,Energia,IXC,IXC,ok,yfinance.download,2026-06-18,49.830002,2026-03-30,59.18,-15.7993,2026-03-27,58.259998,-14.4696,2026-03-30,59.18,-15.7993,6180,,2026-06-20T09:23:37+00:00
47,Rio Tinto / Materials,da verificare,leader,Materials,Mining/materiali,RIO,RIO,ok,yfinance.download,2026-06-18,100.080002,2008-05-19,139.662506,-28.3415,2008-05-16,138.732498,-27.8612,2026-05-13,112.580002,-11.1032,9059,,2026-06-20T09:23:37+00:00
48,Oro fisico ETC,da verificare,leader,Real asset,Proxy comune oro,GLD,GLD,ok,yfinance.download,2026-06-18,387.119995,2026-01-29,509.700012,-24.0494,2026-01-29,495.899994,-21.9359,2026-01-29,509.700012,-24.0494,5429,,2026-06-20T09:23:37+00:00
49,Bitcoin,da verificare,leader,Crypto,Proxy Bitcoin,BTC-USD,BTC-USD,ok,yfinance.download,2026-06-20,63487.808594,2025-10-06,126198.070312,-49.6919,2025-10-06,124752.53125,-49.109,2025-10-06,126198.070312,-49.6919,4294,,2026-06-20T09:23:37+00:00
50,Ethereum,da verificare,leader,Crypto,Proxy Ethereum,ETH-USD,ETH-USD,ok,yfinance.download,2026-06-20,1723.01001,2025-08-24,4953.73291,-65.2179,2025-08-22,4831.348633,-64.3369,2025-08-24,4953.73291,-65.2179,3145,,2026-06-20T09:23:38+00:00
